date,open,high,low,close,volume
2017-01-01T00:00:00.000Z,968.29,968.76,966.74,966.97,106562
2017-01-01T00:05:00.000Z,966.97,967.0,966.89,966.89,13731
2017-01-01T00:10:00.000Z,966.89,966.64,964.86,964.86,124137
2017-01-01T00:15:00.000Z,964.86,964.99,964.8,964.8,3001
2017-01-01T00:20:00.000Z,964.8,964.8,964.8,964.8,0
2017-01-01T00:25:00.000Z,964.8,965.09,964.54,964.91,48000
2017-01-01T00:30:00.000Z,964.91,965.01,964.92,965.01,2501
2017-01-01T00:35:00.000Z,965.01,967.82,965.57,967.82,71501
2017-01-01T00:40:00.000Z,967.82,967.08,967.08,967.08,50
2017-01-01T00:45:00.000Z,967.08,967.4,967.4,967.4,50
2017-01-01T00:50:00.000Z,967.4,968.08,967.87,968.08,14000
2017-01-01T00:55:00.000Z,968.08,968.0,966.89,968.0,1008
2017-01-01T01:00:00.000Z,968.0,968.1,968.09,968.1,1002
2017-01-01T01:05:00.000Z,968.1,967.98,967.62,967.62,5200
2017-01-01T01:10:00.000Z,967.62,967.7,966.29,966.29,35476
2017-01-01T01:15:00.000Z,966.29,966.29,966.28,966.28,3068
2017-01-01T01:20:00.000Z,966.28,966.66,965.0,965.0,30471
2017-01-01T01:25:00.000Z,965.0,965.01,964.0,964.0,77884
2017-01-01T01:30:00.000Z,964.0,964.76,964.76,964.76,500
2017-01-01T01:35:00.000Z,964.76,967.48,964.69,965.0,134129
2017-01-01T01:40:00.000Z,965.0,965.0,963.67,963.67,59676
2017-01-01T01:45:00.000Z,963.67,963.67,963.67,963.67,0
2017-01-01T01:50:00.000Z,963.67,964.56,963.66,964.55,5531
2017-01-01T01:55:00.000Z,964.55,963.43,963.4,963.4,3000
2017-01-01T02:00:00.000Z,963.4,964.6,964.6,964.6,1301
2017-01-01T02:05:00.000Z,964.6,964.6,964.6,964.6,0
2017-01-01T02:10:00.000Z,964.6,964.49,964.0,964.11,49954
2017-01-01T02:15:00.000Z,964.11,964.6,964.59,964.6,5000
2017-01-01T02:20:00.000Z,964.6,964.6,964.6,964.6,0
2017-01-01T02:25:00.000Z,964.6,964.51,964.51,964.51,2000
2017-01-01T02:30:00.000Z,964.51,964.51,964.51,964.51,0
2017-01-01T02:35:00.000Z,964.51,964.34,963.23,963.99,16667
2017-01-01T02:40:00.000Z,963.99,963.66,963.65,963.66,10000
2017-01-01T02:45:00.000Z,963.66,964.26,963.16,964.26,75500
2017-01-01T02:50:00.000Z,964.26,964.26,964.26,964.26,0
2017-01-01T02:55:00.000Z,964.26,964.26,964.26,964.26,0
2017-01-01T03:00:00.000Z,964.26,964.61,963.98,964.61,13000
2017-01-01T03:05:00.000Z,964.61,964.61,964.61,964.61,0
2017-01-01T03:10:00.000Z,964.61,964.61,964.61,964.61,0
2017-01-01T03:15:00.000Z,964.61,964.61,964.61,964.61,0
2017-01-01T03:20:00.000Z,964.61,964.82,964.48,964.82,16666
2017-01-01T03:25:00.000Z,964.82,965.0,963.99,964.97,50500
2017-01-01T03:30:00.000Z,964.97,964.42,964.02,964.02,56000
2017-01-01T03:35:00.000Z,964.02,964.29,964.29,964.29,500
2017-01-01T03:40:00.000Z,964.29,963.53,963.52,963.52,24000
2017-01-01T03:45:00.000Z,963.52,963.52,963.43,963.43,16500
2017-01-01T03:50:00.000Z,963.43,963.67,963.42,963.42,25002
2017-01-01T03:55:00.000Z,963.42,963.42,961.69,961.69,84507
2017-01-01T04:00:00.000Z,961.69,961.43,960.9,960.93,57909
2017-01-01T04:05:00.000Z,960.93,960.93,960.93,960.93,0
2017-01-01T04:10:00.000Z,960.93,961.19,961.19,961.19,400
2017-01-01T04:15:00.000Z,961.19,962.09,961.25,962.09,7001
2017-01-01T04:20:00.000Z,962.09,962.09,962.09,962.09,0
2017-01-01T04:25:00.000Z,962.09,962.1,961.14,961.14,32000
2017-01-01T04:30:00.000Z,961.14,961.1,960.93,960.93,41900
2017-01-01T04:35:00.000Z,960.93,961.94,961.64,961.64,640
2017-01-01T04:40:00.000Z,961.64,961.71,961.71,961.71,1
2017-01-01T04:45:00.000Z,961.71,962.0,961.9,961.99,5499
2017-01-01T04:50:00.000Z,961.99,961.99,961.99,961.99,0
2017-01-01T04:55:00.000Z,961.99,961.99,961.99,961.99,1
2017-01-01T05:00:00.000Z,961.99,961.99,961.99,961.99,0
2017-01-01T05:05:00.000Z,961.99,961.99,961.99,961.99,40
2017-01-01T05:10:00.000Z,961.99,961.99,961.99,961.99,0
2017-01-01T05:15:00.000Z,961.99,961.99,961.99,961.99,0
2017-01-01T05:20:00.000Z,961.99,961.99,961.99,961.99,0
2017-01-01T05:25:00.000Z,961.99,961.99,961.99,961.99,0
2017-01-01T05:30:00.000Z,961.99,962.1,961.99,962.1,1382
2017-01-01T05:35:00.000Z,962.1,968.84,962.1,968.84,122909
2017-01-01T05:40:00.000Z,968.84,968.86,963.78,965.53,161263
2017-01-01T05:45:00.000Z,965.53,964.81,963.11,963.81,18021
2017-01-01T05:50:00.000Z,963.81,964.39,963.85,964.39,40006
2017-01-01T05:55:00.000Z,964.39,964.47,964.0,964.47,39966
2017-01-01T06:00:00.000Z,964.47,964.47,964.47,964.47,0
2017-01-01T06:05:00.000Z,964.47,964.0,964.0,964.0,500
2017-01-01T06:10:00.000Z,964.0,964.0,964.0,964.0,0
2017-01-01T06:15:00.000Z,964.0,964.0,964.0,964.0,0
2017-01-01T06:20:00.000Z,964.0,964.0,964.0,964.0,0
